portfolio,Q1,Q2,Q3,Q4,JT4
1,3.71 (2.37),3.19 (2.15),2.73 (1.87),2.36 (1.65),3.22 (2.27)
2,3.22 (2.29),3.04 (2.21),2.97 (1.85),2.37 (1.63),3.11 (2.22)
3,2.73 (1.76),3.82 (2.94),3.10 (2.09),3.06 (1.97),3.28 (2.36)
4,3.24 (2.48),3.20 (2.36),2.72 (1.86),1.90 (1.29),2.97 (2.24)
5,3.28 (1.95),3.03 (1.94),3.46 (1.74),2.06 (1.50),3.34 (2.14)
6,5.02 (2.59),3.39 (2.07),2.81 (1.70),2.90 (2.00),3.71 (2.37)
7,3.31 (2.36),2.56 (1.76),2.37 (1.77),2.24 (1.74),2.83 (2.18)
8,3.79 (2.44),2.55 (1.69),2.61 (2.04),2.59 (1.64),3.10 (2.18)
9,2.98 (1.96),2.72 (1.92),1.91 (1.45),2.43 (1.74),2.67 (1.99)
10,3.37 (2.27),3.48 (2.39),2.90 (1.89),2.08 (1.46),3.08 (2.18)
long_short,-0.34 (-0.40),0.29 (0.45),0.18 (0.29),-0.27 (-0.53),-0.14 (-0.31)
    